swhid,file_id,length,local_path,filename,filepath
swh:1:cnt:000005d64f608bc3a77fcdd1bc618ddc7887478b,4483ccc248581553efc73add67bfceb51148ee72,4433,44,table.js,rules_block/table.js
swh:1:cnt:000005d96b8dfb9e0ca6144fe7446d186574fac6,0bf00aa575cd821d3c8e22252179166693480733,131875,0b,324194.json,2019-_Conservative_government/324194.json
swh:1:cnt:000005da0159290288dd9f668a79b0afc3602257,fabcc0f4ae6b29c3f62b1c70e5d7ffee1058899d,116729,fa,persona-02.jpg,images/persona-02.jpg
swh:1:cnt:000005deb51c17f9cab63d5a16f89fe25defeb50,eef59ecd975e02448f95dcc3a86f73eda1dd0f88,16702,ee,permutations.html,topic/permutations.html
swh:1:cnt:000005e2a3b58bef2491236d3209409b45472304,162fd91ca7cca98ccf44081c93f0a28c74de05ad,29811,16,Main.js,viewmodels/Main.js
swh:1:cnt:000005ee4a777919515dc0a01ccd161ec1e4f32d,7a469fc6512abb776e73114dc2882f8e78b5aa83,2992,7a,pycountry-1.14,dev-python/pycountry-1.14
swh:1:cnt:000005f41dbcc635986e46240a976ebfb0ca58cd,fee7dec4404fc4c5321a24c5c7673210fd8c68b1,4008,fe,index.html.haml,candidates/index.html.haml
swh:1:cnt:000005fe976892564a05c7807b0c021c9c218088,a3fc199cbded8d16e55e75b316a86f1e675cb2b4,1024,a3,lkHeartbeat,lkHeartbeat
swh:1:cnt:000005ffba05d31fd7ec23a03dab216c3a8f7e9a,6f03cc339ef639412791b448f9b0e8dbf60030ce,128539,6f,Privacy Policy.html,Tumblr/Privacy Policy.html
swh:1:cnt:000006030458fcf2a115b042f485ba371c264c8a,0c55f238a21f57377c59b82c477e74a0dcfd2d16,5153,0c,ID.605953.stable.out,Tests/ID.605953.stable.out
swh:1:cnt:00000604cf63dca0aaf0dcc7fbce95b114ad3caa,392418c23bf360b5148576adbd995d1e30a46fde,10288,39,mdksxm-skachat-torrent-shef-24.html,mdksxm-skachat-torrent-shef-24.html
swh:1:cnt:00000605f8c0350843bd5ee9f39ddbdc8482ea4d,020a4d1eedc04a41d5ca7101af86a0782f4b9520,3910,02,m,m
swh:1:cnt:00000616c498e9889bdfa1530f8b6f23bbe3ab99,3854ef44249c267a2cc2d196bf05678312608384,4285,38,SMDS_DataMapNodeOfDataMapOfIntegerMeshElement.hxx,SMDS/SMDS_DataMapNodeOfDataMapOfIntegerMeshElement.hxx
swh:1:cnt:00000617b980c9001250377fd8370a4ae564f98d,bc030144b0960e5aad656126567a5a48ee275527,6058,bc,kansas.geojson,networks/kansas.geojson
swh:1:cnt:0000061e39de77445f10fb21b12f9065ae89b0ab,46bc9f37a65da9ad9a41e7d1f01516cfc7a40e68,12133,46,netstat.1,netstat/netstat.1
swh:1:cnt:0000061f224ea1b79a010596035916891ee4cea6,9c0245c561e67d92a6b54aa2981e6692f5ed05a6,1872,9c,pointDisplacement,0.orig/pointDisplacement
swh:1:cnt:0000062ae2e54e20225b9f35e409637f76dc817e,0cae8c6f9e9b445d1c0a2d47a33f4fcb22bcd83f,16595,0c,allgemein.csv,ts/allgemein.csv
swh:1:cnt:0000062df6ca6df45d58e30ec47499de39daf086,d8704b497d8939a30f00372ea2a2e20bf2dad4a3,35220,d8,2008-01-29-methods-for-analyzing-limiting-and-enhancing-access-to-an-internet-api-web-service-and-data.markdown,_patents/2008-01-29-methods-for-analyzing-limiting-and-enhancing-access-to-an-internet-api-web-service-and-data.markdown
swh:1:cnt:000006334cd6314c8a931d9dfbec3f897f73880e,3741d570bc3afe8f6be1b1847ae83d25006b3b35,36026,37,elm_priv.h,elementary/elm_priv.h
swh:1:cnt:0000063dacef93f2b20fbbafacb41c73b67ffc39,99a6c7449c0321ec24c025e9c59c438d6809d9d8,244,99,CS.D.MXNJPY.TODAY.IP_streamdata.json,CS.D.MXNJPY.TODAY.IP/CS.D.MXNJPY.TODAY.IP_streamdata.json
swh:1:cnt:0000063e6647eaac27f4773c8e0c2f59a1aee346,16e6d895e2102515d8092d10578044ab1e7477bf,8577,16,Lit_Texture.mat,1201_Lit_Features/Lit_Texture.mat
swh:1:cnt:0000064121a2c756aed8e42f37b97ce0148bd963,b0cb4c7d585f80210e133b6cdb2c37f20916c6ae,1010,b0,HeartActivityResponse.java,model/HeartActivityResponse.java
swh:1:cnt:0000064cab229e7552164ba74efeadf3a8e91fd9,85d62cf9ebe87da877302d548ad42968d0743223,144,85,UTVAction.m3u8,Dynamics/UTVAction.m3u8
swh:1:cnt:000006548f603a5eab8434365112e60e734b63ce,804e716bdb69e0eeecf1b9ae9b6c5db67aeabdc2,5494,80,EresseaSpecificStuff.java,gamebinding/EresseaSpecificStuff.java
swh:1:cnt:000006568536e061e1cc9c27382a344917a50365,dbe588cf683df92061558101f36fabc72d019122,74980,db,libRScpp.so,lib/libRScpp.so
swh:1:cnt:0000065819c3d970da2fe85db6c53165891a6267,2cea3994128d51352eabe090d8f8e567872ae080,2467,2c,ProfileDataFetcher.java,profile/ProfileDataFetcher.java
swh:1:cnt:0000065855d382bdc586e37db9f5cf869b258cb6,b1103406b787f5fdbe9d1dd8fe5d624f58357722,2015,b1,RegisterApplicationMapper.java,doctor/RegisterApplicationMapper.java
swh:1:cnt:0000065c1502da32720f5aba64054ba341b9e3af,edec2e65e74238b1f039536a403dda9ba7d82222,1764,ed,Directory.build.props,src/Directory.build.props
swh:1:cnt:0000065eec27d824c643f125926908fdb71d8d49,f63ccadd2ac190783f70a17307345bf8ba59557f,7,f6,217839.txt,numbers/217839.txt
swh:1:cnt:000006604783a0383970e67784e4bda4e305f8ae,ec5a3b873ebc23e1014cec9ad8cdc963b6347a8d,3789,ec,web_submissions.py,tests/web_submissions.py
