swhid,file_id,length,local_path,filename,filepath
swh:1:cnt:0003a54e23f2554ef48b86ab2565dc170e9f4f58,d78bbd6b4e0145b7a209aab7cdb4ed3f7cf92dee,24533,d7,file_system.c,ansic/file_system.c
swh:1:cnt:0003a56990b2130bee58719240cfcd8ebbc37f51,50d40110ae90d1a0e19d32c8887b2289cb31cf3e,39854,50,powerdomain.c,mach-omap2/powerdomain.c
swh:1:cnt:0003a5791655dc3a03e8aa449781ef5e7b2ace36,8cf1952b72bd99349c870f20db71d90aeb5def72,4614,8c,Pattern_Model.h,Pattern/Pattern_Model.h
swh:1:cnt:0003a58cc09f69812690f19e08cac5072174e9bb,6394713ecdfedd44bb6e070abcfc065a099bde3e,26728,63,kernel_graph.h,session/kernel_graph.h
swh:1:cnt:0003a59e65d776507e123f86ccb0c782f46d3481,0d9c9c94846ea2b6fb842d32e2d4cf7a4f983d0b,10637,0d,st_win32.h,systhreads/st_win32.h
swh:1:cnt:0003a5ef63b651662eb9a64a4a235c40dbb30231,e34fc08d72b126e413162d05dd1afe6350065195,44743,e3,gstffmpegdemux.c,ffmpeg/gstffmpegdemux.c
swh:1:cnt:0003a621cbb7d6b710aaecd2bb7244baf3d3f193,67eccf2f4811f8a46e84701f43e6f57f32334f66,328897,67,log_event.cc,sql/log_event.cc
swh:1:cnt:0003a6407d1b99c2b4db2d4de9b84c919c6224bf,5e1caf54300744ad8417fa20994845b4a3154631,11393,5e,nsBaseFilePicker.cpp,widget/nsBaseFilePicker.cpp
swh:1:cnt:0003a648f582dc1425e302c4c1213a556e850337,5461a9fae604b783fa322a26642ad5b403d45563,44586,54,nt36xxx.c,nvt_touch_d2s/nt36xxx.c
swh:1:cnt:0003a65a358efe210c9fc4d2e9aac00b88c6963b,1aaaa6a16b530cf80315e000663d96f617177962,9707,1a,Variable.cpp,src/Variable.cpp
swh:1:cnt:0003a683ce789b6f361e219bf268cf8529b33d24,94a1fb534602d4bfa034ac2d6f9cbf23ca692b0f,14878,94,main.c,main.c
swh:1:cnt:0003a69a52d79cad5eda43a17621ea8530f03941,3568bc1ab5f726018aba26cef0078499e954adb5,2634,35,projective_cam.h,camera/projective_cam.h
swh:1:cnt:0003a6cfa7a58acdced56bd34a7c006bb1bd730c,c1f1f2924b4e6863872c16e5a005e07b90dd3aa0,82902,c1,render_form.cpp,rendering/render_form.cpp
swh:1:cnt:0003a6dedabc09bc38dfe034d68c4e3cdc39958b,e4c9743480f080d19cb54a801531a17bbd4a66ac,1678,e4,is_in_str_list.c,utils/is_in_str_list.c
